ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,time_dt,floating_at_end,floating_at_low,direction,date
3357317,9542876,2026-08-21 16:27:42,1787329662359,0,0,26011001,9542876,3,0.01,4600.99,0.0,0.0,0.0,0.0,XAUUSD.u,STR B9,,2026-08-21 16:27:42,-144.53999999999996,-155.23999999999978,BUY,2026-08-21
3348054,9525746,2026-08-21 13:22:26,1787318546307,0,0,26011001,9525746,3,0.01,4600.26,0.0,0.0,0.0,0.0,XAUUSD.u,STR B6,,2026-08-21 13:22:26,-143.8100000000004,-154.51000000000022,BUY,2026-08-21
3715023,11041896,2026-08-28 16:02:05,1787932925350,0,0,26011001,11041896,3,0.01,4599.77,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-28 16:02:05,-143.32000000000062,-154.02000000000044,BUY,2026-08-28
3347998,9525744,2026-08-21 13:21:17,1787318477482,0,0,26011001,9525744,3,0.01,4598.73,0.0,0.0,0.0,0.0,XAUUSD.u,STR B5,,2026-08-21 13:21:17,-142.27999999999975,-152.97999999999956,BUY,2026-08-21
3662164,10984960,2026-08-27 17:32:05,1787851925537,0,0,26011001,10984960,3,0.01,4598.32,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-27 17:32:05,-141.8699999999999,-152.5699999999997,BUY,2026-08-27
3715020,11041894,2026-08-28 16:02:05,1787932925024,0,0,26011001,11041894,3,0.01,4598.24,0.0,0.0,0.0,0.0,XAUUSD.u,STR B1,,2026-08-28 16:02:05,-141.78999999999996,-152.48999999999978,BUY,2026-08-28
3348237,9527572,2026-08-21 13:25:02,1787318702393,0,0,26011001,9527572,3,0.01,4597.2,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-21 13:25:02,-140.75,-151.44999999999982,BUY,2026-08-21
3655543,10978064,2026-08-27 15:44:04,1787845444100,0,0,26011001,10978064,3,0.01,4582.94,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-27 15:44:04,-126.4899999999998,-137.1899999999996,BUY,2026-08-27
3656659,10980159,2026-08-27 15:52:37,1787845957403,0,0,26011001,10980159,3,0.01,4582.53,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-27 15:52:37,-126.07999999999993,-136.77999999999975,BUY,2026-08-27
3723492,11051168,2026-08-28 17:00:54,1787936454327,0,0,26011001,11051168,3,0.01,4582.48,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-28 17:00:54,-126.02999999999976,-136.72999999999956,BUY,2026-08-28
3654878,10978062,2026-08-27 15:36:42,1787845002871,0,0,26011001,10978062,3,0.01,4581.41,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-27 15:36:42,-124.96000000000005,-135.65999999999985,BUY,2026-08-27
3655446,10978591,2026-08-27 15:42:58,1787845378780,0,0,26011001,10978591,3,0.01,4581.41,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-27 15:42:58,-124.96000000000005,-135.65999999999985,BUY,2026-08-27
3717143,11044029,2026-08-28 16:09:34,1787933374708,0,0,26011001,11044029,3,0.01,4581.19,0.0,0.0,0.0,0.0,XAUUSD.u,STR B5,,2026-08-28 16:09:34,-124.73999999999978,-135.4399999999996,BUY,2026-08-28
3723450,11051166,2026-08-28 17:00:25,1787936425812,0,0,26011001,11051166,3,0.01,4580.95,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-28 17:00:25,-124.50000000000001,-135.19999999999982,BUY,2026-08-28
3721054,11048206,2026-08-28 16:36:13,1787934973447,0,0,26011001,11048206,3,0.01,4576.18,0.0,0.0,0.0,0.0,XAUUSD.u,STR B9,,2026-08-28 16:36:13,-119.73000000000047,-130.4300000000003,BUY,2026-08-28
3721030,11048204,2026-08-28 16:35:57,1787934957843,0,0,26011001,11048204,3,0.01,4574.66,0.0,0.0,0.0,0.0,XAUUSD.u,STR B8,,2026-08-28 16:35:57,-118.21000000000004,-128.90999999999985,BUY,2026-08-28
3721116,11048751,2026-08-28 16:36:59,1787935019664,0,0,26011001,11048751,3,0.01,4573.14,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-28 16:36:59,-116.69000000000051,-127.39000000000034,BUY,2026-08-28
3721469,11048946,2026-08-28 16:40:55,1787935255349,0,0,26011001,11048946,3,0.01,4568.58,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-28 16:40:55,-112.13000000000011,-122.82999999999993,BUY,2026-08-28
3716470,11043278,2026-08-28 16:06:52,1787933212097,0,0,26011001,11043278,3,0.01,4559.91,0.0,0.0,0.0,0.0,XAUUSD.u,STR B1,,2026-08-28 16:06:52,-103.46000000000004,-114.15999999999985,BUY,2026-08-28
3719623,11046965,2026-08-28 16:25:00,1787934300838,0,0,26011001,11046965,3,0.01,4558.35,0.0,0.0,0.0,0.0,XAUUSD.u,STR B6,,2026-08-28 16:25:00,-101.90000000000055,-112.60000000000036,BUY,2026-08-28
3719609,11046962,2026-08-28 16:24:58,1787934298025,0,0,26011001,11046962,3,0.01,4556.83,0.0,0.0,0.0,0.0,XAUUSD.u,STR B5,,2026-08-28 16:24:58,-100.38000000000011,-111.07999999999993,BUY,2026-08-28
3719575,11046960,2026-08-28 16:24:41,1787934281778,0,0,26011001,11046960,3,0.01,4555.31,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-28 16:24:41,-98.86000000000058,-109.56000000000041,BUY,2026-08-28
3719565,11046956,2026-08-28 16:24:35,1787934275213,0,0,26011001,11046956,3,0.01,4553.79,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-28 16:24:35,-97.34000000000015,-108.03999999999996,BUY,2026-08-28
3718044,11045175,2026-08-28 16:13:56,1787933636915,0,0,26011001,11045175,3,0.01,4551.16,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-28 16:13:56,-94.71000000000004,-105.40999999999985,BUY,2026-08-28
3727244,11054988,2026-08-28 17:47:30,1787939250411,0,0,26011001,11054988,3,0.01,4545.47,0.0,0.0,0.0,0.0,XAUUSD.u,STR B6,,2026-08-28 17:47:30,-89.02000000000044,-99.72000000000025,BUY,2026-08-28
3727230,11054985,2026-08-28 17:47:14,1787939234167,0,0,26011001,11054985,3,0.01,4543.96,0.0,0.0,0.0,0.0,XAUUSD.u,STR B5,,2026-08-28 17:47:14,-87.51000000000022,-98.21000000000004,BUY,2026-08-28
3728685,11056544,2026-08-28 18:03:01,1787940181847,0,0,26011001,11056544,3,0.01,4529.07,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-28 18:03:01,-72.61999999999989,-83.31999999999971,BUY,2026-08-28
3728570,11056542,2026-08-28 18:00:51,1787940051244,0,0,26011001,11056542,3,0.01,4527.56,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-28 18:00:51,-71.11000000000058,-81.8100000000004,BUY,2026-08-28
3737382,11064785,2026-08-28 20:43:26,1787949806667,1,0,26011001,11064785,3,0.06,4445.75,0.0,0.0,0.0,0.0,XAUUSD.u,STR S7,,2026-08-28 20:43:26,-64.19999999999891,-0.0,SELL,2026-08-28
3738988,11064784,2026-08-28 21:39:29,1787953169884,0,0,26011001,11064784,3,0.06,4466.61,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-28 21:39:29,-60.95999999999913,-125.15999999999804,BUY,2026-08-28
