ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
9647660,1787599050,1787599050749,1787599208,1787599208834,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4666.13,0.0,0.0,4643.19,0.0,XAUUSD.u,STR B8,
9647661,1787599050,1787599050861,1787599208,1787599208722,0,5,0,2,2,26011001,0,0,3,0.01,0.01,4641.33,0.0,0.0,4642.68,0.0,XAUUSD.u,STR S8,
9647662,1787599050,1787599050973,1787599208,1787599208611,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4667.68,0.0,0.0,4642.59,0.0,XAUUSD.u,STR B9,
9647663,1787599051,1787599051086,1787599208,1787599208499,0,5,0,2,2,26011001,0,0,3,0.01,0.01,4639.78,0.0,0.0,4642.37,0.0,XAUUSD.u,STR S9,
9647664,1787599051,1787599051198,1787599208,1787599208387,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4669.23,0.0,0.0,4642.27,0.0,XAUUSD.u,STR B10,
9647666,1787599051,1787599051310,1787599208,1787599208275,0,5,0,2,2,26011001,0,0,3,0.01,0.01,4638.23,0.0,0.0,4642.41,0.0,XAUUSD.u,STR S10,
9647667,1787599051,1787599051421,1787599208,1787599208164,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4670.78,0.0,0.0,4642.76,0.0,XAUUSD.u,STR B11,
9647668,1787599051,1787599051533,1787599208,1787599208051,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4636.68,0.0,0.0,4643.18,0.0,XAUUSD.u,STR S11,
9647669,1787599051,1787599051645,1787599207,1787599207939,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4672.33,0.0,0.0,4643.19,0.0,XAUUSD.u,STR B12,
9647670,1787599051,1787599051757,1787599207,1787599207827,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4635.13,0.0,0.0,4643.23,0.0,XAUUSD.u,STR S12,
9647671,1787599051,1787599051870,1787599207,1787599207715,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4673.88,0.0,0.0,4643.15,0.0,XAUUSD.u,STR B13,
9647672,1787599051,1787599051982,1787599207,1787599207603,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4633.58,0.0,0.0,4643.19,0.0,XAUUSD.u,STR S13,
9647673,1787599052,1787599052094,1787599207,1787599207491,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4675.43,0.0,0.0,4643.17,0.0,XAUUSD.u,STR B14,
9647674,1787599052,1787599052210,1787599207,1787599207380,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4632.03,0.0,0.0,4643.22,0.0,XAUUSD.u,STR S14,
9647675,1787599052,1787599052322,1787599207,1787599207267,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4676.98,0.0,0.0,4643.18,0.0,XAUUSD.u,STR B15,
9647676,1787599052,1787599052434,1787599207,1787599207155,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4630.48,0.0,0.0,4642.98,0.0,XAUUSD.u,STR S15,
9647677,1787599052,1787599052546,1787599207,1787599207043,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4678.53,0.0,0.0,4643.15,0.0,XAUUSD.u,STR B16,
9647678,1787599052,1787599052658,1787599206,1787599206930,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4628.93,0.0,0.0,4643.06,0.0,XAUUSD.u,STR S16,
9647679,1787599052,1787599052769,1787599206,1787599206817,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4680.08,0.0,0.0,4643.89,0.0,XAUUSD.u,STR B17,
9647680,1787599052,1787599052882,1787599206,1787599206706,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4627.38,0.0,0.0,4643.83,0.0,XAUUSD.u,STR S17,
9647681,1787599052,1787599052994,1787599206,1787599206594,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4681.63,0.0,0.0,4643.85,0.0,XAUUSD.u,STR B18,
9647682,1787599053,1787599053107,1787599206,1787599206482,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4625.83,0.0,0.0,4643.82,0.0,XAUUSD.u,STR S18,
9647683,1787599053,1787599053218,1787599206,1787599206370,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4683.18,0.0,0.0,4643.85,0.0,XAUUSD.u,STR B19,
9647684,1787599053,1787599053330,1787599206,1787599206259,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4624.28,0.0,0.0,4643.83,0.0,XAUUSD.u,STR S19,
9647685,1787599053,1787599053442,1787599206,1787599206147,0,4,0,2,2,26011001,0,0,3,0.06,0.06,4684.73,0.0,0.0,4643.81,0.0,XAUUSD.u,STR B20,
9647686,1787599053,1787599053554,1787599206,1787599206035,0,5,0,2,2,26011001,0,0,3,0.06,0.06,4622.73,0.0,0.0,4643.74,0.0,XAUUSD.u,STR S20,
9647687,1787599053,1787599053667,1787599205,1787599205922,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4686.28,0.0,0.0,4643.77,0.0,XAUUSD.u,STR B21,
9647688,1787599053,1787599053779,1787599205,1787599205811,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4621.18,0.0,0.0,4643.68,0.0,XAUUSD.u,STR S21,
9647689,1787599053,1787599053891,1787599205,1787599205699,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4687.83,0.0,0.0,4643.67,0.0,XAUUSD.u,STR B22,
9647690,1787599054,1787599054003,1787599205,1787599205585,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4619.63,0.0,0.0,4643.66,0.0,XAUUSD.u,STR S22,
9647691,1787599054,1787599054115,1787599205,1787599205474,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4689.38,0.0,0.0,4643.67,0.0,XAUUSD.u,STR B23,
9647692,1787599054,1787599054226,1787599205,1787599205362,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4618.08,0.0,0.0,4643.62,0.0,XAUUSD.u,STR S23,
9647693,1787599054,1787599054338,1787599205,1787599205250,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4690.93,0.0,0.0,4643.58,0.0,XAUUSD.u,STR B24,
9647694,1787599054,1787599054450,1787599205,1787599205138,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4616.53,0.0,0.0,4643.41,0.0,XAUUSD.u,STR S24,
9647695,1787599054,1787599054562,1787599205,1787599205026,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4692.48,0.0,0.0,4643.5,0.0,XAUUSD.u,STR B25,
9647696,1787599054,1787599054674,1787599204,1787599204914,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4614.98,0.0,0.0,4643.85,0.0,XAUUSD.u,STR S25,
9647697,1787599054,1787599054786,1787599204,1787599204802,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4694.03,0.0,0.0,4643.82,0.0,XAUUSD.u,STR B26,
9647699,1787599054,1787599054898,1787599204,1787599204690,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4613.43,0.0,0.0,4643.74,0.0,XAUUSD.u,STR S26,
9647700,1787599055,1787599055010,1787599204,1787599204578,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4695.58,0.0,0.0,4643.9,0.0,XAUUSD.u,STR B27,
9647701,1787599055,1787599055122,1787599204,1787599204467,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4611.88,0.0,0.0,4643.92,0.0,XAUUSD.u,STR S27,
9647702,1787599055,1787599055234,1787599204,1787599204355,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4697.13,0.0,0.0,4643.72,0.0,XAUUSD.u,STR B28,
9647703,1787599055,1787599055347,1787599204,1787599204243,0,5,0,2,2,26011001,0,0,3,0.15,0.15,4610.33,0.0,0.0,4643.74,0.0,XAUUSD.u,STR S28,
9647704,1787599055,1787599055459,1787599204,1787599204131,0,4,0,2,2,26011001,0,0,3,0.15,0.15,4698.68,0.0,0.0,4643.77,0.0,XAUUSD.u,STR B29,
