kind,t,cycle,side,lvl,vol,price,open_p,close_p,profit,reason,anchor,step
close,2026-07-24T04:47:55.547000,80,S,8,0.01,,4043.9950000000003,4040.125,3.8700000000003456,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,S,7,0.01,,4043.9950000000003,4040.125,3.8700000000003456,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,B,4,0.01,,4061.805,4039.9750000000004,-21.829999999999472,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,S,4,0.01,,4043.395,4040.125,3.269999999999982,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,S,5,0.01,,4043.395,4040.125,3.269999999999982,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,S,6,0.01,,4043.395,4040.125,3.269999999999982,grid_recenter,,
close,2026-07-24T04:47:55.547000,80,S,12,0.06,,4039.9750000000004,4040.125,-0.8999999999978171,grid_recenter,,
cycle_close,2026-07-24T04:47:55.547000,80,,,,,,,,grid_recenter,,
order_place,2026-07-24T04:47:58.183000,81,B,1,0.01,4039.76,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,1,0.01,4037.06,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,2,0.01,4041.1,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,2,0.01,4035.7200000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,3,0.01,4042.4500000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,3,0.01,4034.37,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,4,0.01,4043.79,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,4,0.01,4033.03,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,5,0.01,4045.14,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,5,0.01,4031.6800000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,6,0.01,4046.4900000000002,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,6,0.01,4030.33,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,7,0.01,4047.83,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,7,0.01,4028.9900000000002,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,8,0.01,4049.1800000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,8,0.01,4027.64,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,9,0.01,4050.53,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,9,0.01,4026.29,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,10,0.01,4051.87,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,10,0.01,4024.9500000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,11,0.06,4053.2200000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,11,0.06,4023.6,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,12,0.06,4054.56,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,12,0.06,4022.26,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,13,0.06,4055.9100000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,13,0.06,4020.9100000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,14,0.06,4057.26,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,14,0.06,4019.56,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,15,0.06,4058.6,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,15,0.06,4018.2200000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,16,0.06,4059.9500000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,16,0.06,4016.87,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,17,0.06,4061.29,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,17,0.06,4015.53,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,18,0.06,4062.64,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,18,0.06,4014.1800000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,19,0.06,4063.9900000000002,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,19,0.06,4012.83,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,20,0.06,4065.33,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,20,0.06,4011.4900000000002,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,21,0.15,4066.6800000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,21,0.15,4010.14,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,22,0.15,4068.03,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,22,0.15,4008.79,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,23,0.15,4069.37,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,23,0.15,4007.4500000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,24,0.15,4070.7200000000003,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,24,0.15,4006.1,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,25,0.15,4072.06,,,,,,
order_place,2026-07-24T04:47:58.183000,81,S,25,0.15,4004.76,,,,,,
order_place,2026-07-24T04:47:58.183000,81,B,26,0.15,4073.4100000000003,,,,,,
